Timestamp,Age ,Gender,Educational Background,"Do you regularly use AI tools (e.g., ChatGPT, Grammarly)","If yes, how often?",What tasks do you use AI for? ,"On a scale of 1–5, how dependent do you feel on AI?","Without using AI, write a paragraph :
""If the internet disappeared tomorrow, how would your life change?""
Please write without AI assistance. This helps us measure natural creativity and mental effort.",Were you aware that AI could generate write-ups?,How mentally tiring was the task?,How confident are you in your originality?,Were you tempted to use AI while writing?,Do you feel AI has reduced your own creativity?
7/25/2025 2:30:38 PM GMT+5:30,26,Male,Graduate,Yes,Once a day,Brainstorming,3,"If the internet were to disappear tomorrow, the sky would be bluer, the flowers would finally give off a fragrance and I would see the world a bit better. Internet is an essential part of our daily lives, one such that without it today I would definitely feel handicapped. Yet I can’t help but ponder how significantly my lifestyle would change if it becomes non-existential. Maybe i would devote more time to things i dont get time for or to things i gave up on completely. But maybe i would get bored out of my mind. Maybe i would be more creative, energetic, and lively. But then again maybe, things would get rather complicated than getting simpler just due to the fact that now i am used to the comfort of getting things one tap away. All in all, the idea of internet not being anymore is a hypothetical one consider how fast paced we race towards technology and new developments everyday. It is still an interesting question to wonder about, “what was life like before it ever existed? How was it different? And how different it will be after when it is gone” If we think about it, the future generations are going yo grow up with AI and maybe one day they will write a paragraph on how life would be if AI dissappeared. They will wonder how we managed it, but they wouldnt be able to imagine their own world without it. Or maybe they would struggle to write the paragraph itself because it would be forgotten we could write too, that we are capable of efforts too without asking a machine for every small detail. And yet you cant blame the machine that was invented to bring us that confort in the very first place.",yes,2,7,No,Maybe
7/25/2025 5:19:48 PM GMT+5:30,19,Female,Undergraduate,Yes,Multiple times a day,Writing;Research,3,"It actually would feel like a recharge moment, as there are lot of things that the Internet takes care of so basically we are dependent on it which comes with it’s own pros and cons. I feel the life will take a turn as it will come up with it’s own way to fulfil everything.",yes,3,8,Yes,Maybe
7/25/2025 2:48:45 PM GMT+5:30,18,Female,Undergraduate,Yes,A few times a week,Writing,3,"I would feel lost without the internet, No ways to chat with friends, no instant news or updates, and no quick answers for any of my questions. Internet is now an essential part of our life. But, life goes on so I would try to mend myself to the new lifestyle without the internet",No,1,10,No,No
7/25/2025 6:09:31 PM GMT+5:30,21,Male,Graduate,Yes,Multiple times a day,Writing;Research;Brainstorming;,4,Very less to minimal changes ,yes,1,10,No,Maybe
7/25/2025 1:05:25 PM GMT+5:30,49,Female,Postgraduate / PhD,Yes,Multiple times a day,Coding,3,"There would be difficulties ar first, but with time it will be solved",yes,1,10,No,Yes
7/25/2025 4:28:07 PM GMT+5:30,20,Female,Undergraduate,Yes,A few times a week,Writing;Coding;Brainstorming,4,"If internet would disappear things would be difficult for a bit of time , but with time humans will start to think like they used to think",yes,10,7,Yes,Yes
7/25/2025 11:32:44 AM GMT+5:30,18,Female,Undergraduate,Yes,Rarely,Writing,1,Cannot write it properly ,yes,6,10,No,Yes
7/25/2025 4:06:39 PM GMT+5:30,19,Male,Undergraduate,Yes,Rarely,Research;Brainstorming,2,I have to write many emails so productivity would get low as then i have to check many times about punctuation error etc,yes,1,6,No,No
7/25/2025 2:59:04 PM GMT+5:30,44,Male,Postgraduate / PhD,Yes,Multiple times a day,Writing;Research,3,It is unimaginable. ,No,4,10,No,Yes
7/25/2025 5:37:05 PM GMT+5:30,21,Female,Undergraduate,Yes,Once a day,Research;Brainstorming,3,"If internet disappeared tomorrow, it would drastically change our lives. No internet, no social media, everything would just stop. Systems will crash, people will be disconnected, society and economies will fall.",yes,3,10,Yes,Yes
7/25/2025 11:02:08 AM GMT+5:30,20,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Brainstorming;,3,"My education system has provided me enough knowledge and skills about not being dependent too much on internet.Tge additional knowledge required freelyvib librAry books etc.,though internet really helps,the human creativity and application of knowledge is still relevant ",yes,1,6,Yes,Yes
7/25/2025 5:23:44 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Writing,3,"It actually would feel like a recharge moment, as there are lot of things that the Internet takes care of so basically we are dependent on it which comes with it’s own pros and cons. I feel the life will take a turn as it will come up with it’s own way to fulfil everything.",yes,4,7,No,Yes
7/25/2025 5:02:23 PM GMT+5:30,21,Female,Undergraduate,Yes,Multiple times a day,Research,5,"Communication, Information sharing, Daily life Conveniences, Every aspect of our lives would be changed beyond recognition.

The internet has over the years has long since evolved past its nature as a tool, It is part of our Global culture.

A world without the Internet is a world unrecognizeable",No,1,10,Yes,No
7/25/2025 4:57:57 PM GMT+5:30,22,Female,Undergraduate,Yes,A few times a week,Writing;Coding,2,It will be difficult ,No,2,8,No,Maybe
7/25/2025 11:34:18 AM GMT+5:30,19,Female,Undergraduate,Yes,Rarely,Writing;Research,5,"Life would be  a choas for a while as we are dependent on it for everyday activity. But after a while when we sit in chaos, we start reflecting on it and we start observing the small things that make life life.",yes,1,10,No,No
2025/07/30 10:12:30 AM GMT+5:30,22,Female,Undergraduate,No,Rarely,,1,"
If the internet disappeared tomorrow, my daily routine would be turned upside down. I’d wake up without checking emails, social media, or the news on my phone. I’d no longer be able to stream music while getting ready or look up recipes while cooking. At work, collaboration would become more difficult without shared documents or instant messaging. I’d have to rely on physical resources like books, newspapers, and face-to-face conversations to gather information. Planning travel or making appointments would take much more effort. Shopping for anything beyond local necessities would be a challenge. 
",yes,10,6,Yes,yes
2025/11/03 2:32:48 AM GMT+5:30,21,Male,Graduate,Yes,A few times a week,Research;Brainstorming,2,It would be difficult as I live far from my family and without internet I wont be able to talk to them. ,yes,1,10,No,yes
7/25/2025 2:41:27 PM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Writing,3,"- I will make the maximum use of internet today.
- I will wait for day after tomorrow.
- All my fake IDs (angel priya) will be of no use.
- Days will be easier but nights would be so long.
- Bluetooth era will come again (nostalgia).",yes,5,3,Yes,Maybe
7/25/2025 3:53:58 PM GMT+5:30,25,Female,Undergraduate,Yes,Once a day,Writing,2,Very less to minimal changes ,No,1,8,Yes,Yes
7/25/2025 5:34:35 PM GMT+5:30,18,Male,Undergraduate,Yes,Once a day,Writing;Research,2,"It would be tough without internet because we are totally dependent on it due to our daily tasks. However, not on AI apps.",No,1,10,Yes,No
7/25/2025 3:16:52 PM GMT+5:30,20,Male,Undergraduate,Yes,Once a day,Writing;Research;Brainstorming,5,no,yes,7,10,No,No
7/25/2025 1:19:04 PM GMT+5:30,44,Female,Postgraduate / PhD,Yes,Multiple times a day,Writing;Research;Brainstorming,3,"As we frequently use web or other applications daily, so without internet a deep impact on emotions may impact.",yes,10,10,No,No
7/25/2025 3:29:08 PM GMT+5:30,30,Female,Graduate,Yes,A few times a week,Writing;Research,1,"If the internet disappeared tomorrow, it would be a sudden change, difficult to digest but if we look at the bigger picture life would become alot more peaceful and serene. People would go back to the traditional ways connecting with nature and the people around them which is the conventional way. ",yes,1,10,Yes,Yes
7/25/2025 12:32:29 PM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Brainstorming,3,"If internet disappeared Tom... It hd both advantages and disadvantages. 
Our lyf is totally change... All our digital work stops... Online payments then manually. Social media totally gone, one side it's tym saving.. Most of time we wasted on scrolling funny memes, otherside our touch with others is totally gone.. If we are not connected...tym consuming= we use letters to send message on far places. Study=  online coaching from abroad is totally vanish... We need do daily up down for far coachings.. Study source reduce... Because updated re-search are not easily available on library's..because we need review some latest research papers to continue this...conclusion...if internet disappeared lyf is difficult. ",No,7,10,Yes,Yes
7/25/2025 1:35:18 PM GMT+5:30,23,Male,Graduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,Not possible ,yes,1,10,Yes,Yes
7/25/2025 3:08:29 PM GMT+5:30,21,Male,Undergraduate,Yes,Rarely,Writing;Research;Coding;Academic Work,2,If internet disappeared tomorrow then I would 1 leave a peaceful life in my village and will keep my loved ones close and will cook by myself and leave by myself no internet nothing bullshit no job I will do business,yes,1,8,No,No
7/25/2025 11:58:08 AM GMT+5:30,32,Female,Postgraduate / PhD,No,,,2,"If the internet disappeared tomorrow, I’d lose my digital second brain. My calendar, notes, contacts, and even memories live online. I'd have to print things, write more, and organize life with sticky notes again. It would also disrupt how I learn—no tutorials, no quick searches. I’d need to build more human networks for support and information. Work would become slower and less efficient. On the plus side, I might sleep better without screens and focus more on hobbies like painting or cooking. It would be frustrating at first, but I believe I’d gradually rediscover a more grounded way of living.",yes,2,9,No,Yes
7/25/2025 4:25:04 PM GMT+5:30,47,Female,Postgraduate / PhD,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,"Completely different lifestyle, would be focused more onto the real life activities than spending time on screens.",yes,1,10,No,Maybe
7/25/2025 11:41:18 AM GMT+5:30,47,Male,Postgraduate / PhD,Yes,A few times a week,Writing;Research;Coding;Brainstorming,4,"If the internet disappeared tomorrow, it would be a sudden change, difficult to digest but if we look at the bigger picture life would become alot more peaceful and serene. People would go back to the traditional ways connecting with nature and the people around them which is the conventional way. ",No,8,6,No,Yes
7/25/2025 2:00:47 PM GMT+5:30,21,Female,Undergraduate,Yes,Multiple times a day,Writing;Research,3,no,No,4,8,Yes,Maybe
7/25/2025 6:36:10 PM GMT+5:30,22,Male,Undergraduate,Yes,Multiple times a day,Writing;Research,3,"If the internet disappeared tomorrow, I’d lose my digital second brain. My calendar, notes, contacts, and even memories live online. I'd have to print things, write more, and organize life with sticky notes again. It would also disrupt how I learn—no tutorials, no quick searches. I’d need to build more human networks for support and information. Work would become slower and less efficient. On the plus side, I might sleep better without screens and focus more on hobbies like painting or cooking. It would be frustrating at first, but I believe I’d gradually rediscover a more grounded way of living.",yes,5,3,No,Yes
7/25/2025 6:42:31 PM GMT+5:30,42,Female,Postgraduate / PhD,Yes,Multiple times a day,Writing,3,"If the internet were to disappear tomorrow i really think my life would drastically change, since i really am just a full time internet scroller. i would have to find new ways to replace the time i spend doomscrolling and basically reinvent myself. All the course work that i do are solely dependent on the internet so that will be a set back. I would basically have no way of knowing what is happening in another person's life ,that's boring. My day to day life is completely dependent on the internet so i think my life would change significantly.",yes,6,6,Yes,Yes
7/25/2025 6:48:18 PM GMT+5:30,21,Male,Graduate,Yes,Rarely,Writing;Research;Coding,5,"In the age of internet everything is on your fingertips which is really convenient but the major blessings and curse is hyperconnectivity, We are connected with each other all the time and that is exactly what is making it tough for us to be creative on our own. History's most Creative People have gone through Boredom to create something truly magnificent yet Boredom is the most evil things seen today in this day and age because of Internet. Internet has truly provided us with huge opportunities in life but it's the very thing that is the cause of a lot of problems in our life, but again, Internet is just a tool, just like weapons, used by the wrong person, it is self destructive, Used by the right person, it is a blessing, so if it disappears tomorrow, a Hyper connectivity would go away, So I will connect with more people and be more creative in my life but convenience would also go away and life would become a lot slower and slower is the exact word, My generation Hates.",yes,2,6,Yes,Yes
7/25/2025 5:04:30 PM GMT+5:30,45,Male,Postgraduate / PhD,Yes,A few times a week,Brainstorming,2,no,No,1,7,No,Yes
7/25/2025 11:43:26 AM GMT+5:30,18,Female,Undergraduate,Yes,Multiple times a day,Research,3,It will definitely have a big impact on my life ,yes,5,10,No,Yes
7/25/2025 3:55:31 PM GMT+5:30,21,Female,Graduate,Yes,A few times a week,Writing;Research,4,If the internet disappeared tomorrow my life would be very different as all my work depends on the internet and I won’t be able to talk to my friends and family on video which would be very difficult for me,yes,3,10,Yes,Yes
7/25/2025 5:41:27 PM GMT+5:30,21,Female,Undergraduate,Yes,A few times a week,Research,3,In professional framing of message it will be a great drawback and somewhere in career as internet help me do to my research ,yes,5,7,Yes,Yes
2025/07/26 3:34:39 PM GMT+5:30,21,Male,Graduate,Yes,A few times a week,Research,3,Very less to minimal changes ,yes,3,8,No,no
7/25/2025 6:50:55 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Research,3,"If internet disappeared tomorrow, my life would be affected significantly. I am a researcher who depends on the use of internet for writing and reading a lot of research published across the globe, which will reduce significantly as I will have to depend on libraries and published magazines, which may not be as readily available as it is with the presence of internet. One of the many activities I do in my day is doomscrolling LinkedIn to stay aware of the recent positions, which I will have to look upon for in the newspapers for hours if the internet disappears. So, overall, many of us deeply rely on the use of Internet and our life can become unimaginable if it disappears.",No,3,6,No,No
7/25/2025 3:24:25 PM GMT+5:30,19,Female,Undergraduate,No,,,2,I cant,yes,1,8,Yes,No
7/25/2025 2:57:57 PM GMT+5:30,21,Female,Graduate,No,,,1,"If the internet disappeared tomorrow, the first thing that would change in my life is ________.
I usually use the internet for ________, so my daily routine would become ________.
Studying or doing homework would be ________ because ________.
I would communicate with friends and family by ________ instead of ________.
At first I would feel ________, but later I might ________.
One good/bad effect of this change would be ________.",yes,4,9,Yes,No
7/25/2025 11:08:33 AM GMT+5:30,24,Male,Undergraduate,Yes,Multiple times a day,Research,5,"If the internet disappeared tomorrow firstly it would he very difficult for me to realise that this really happened honestly i will freak out and make myself believe that this really happened in the morning first thing after i get freshened up i check my phone WhatsApp Instagram and other social media platforms my messages calls from family friends and others firstly that thing will be gone no connection with any of my mutuals so that will kinda hurt me a lil that i connect with my freind and family members who live far from me or abroad and there will be no entertainment stuff like youtube, Netflix and other streaming platforms and i cant use any online facilities like ordering food from zomato or grocery from blinkit and i can use upi to pay all the knlinw paying system will die so first i would not be able to realise that from now onwards i cant use this all things and to be honest not just me anyone else will also be not able to believe that this is really happening like in the year 2026 the world is completely running on internet all the multi billion dollar businesses are running on internet if internet would be gone there would be no life for me because in today modern world all of us are fully dependent on internet and like my life will be better in terms of like i would know my city better i would spend time reading books and watching the sun and nature more which is also nice but in today world like life is fully dependent on internet it is still difficult to live without internet so it would be difficult for me to survive properly without internet like it would take lot of time for me to get habitual without internet so in the last i would say that we all know we are fully dependent on internet and everyone else will also agree with me that internet also makes things easy so life without internet is something which i cannot imagine ",yes,9,5,No,Yes
7/25/2025 1:27:22 PM GMT+5:30,52,Male,Postgraduate / PhD,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,I feel that it will take a little while to get back to thinking everything by myself like we were doing just a couple years back and without help of AI tools yet there might still be a lack of widen horizon of thinking ,yes,3,8,Yes,Yes
7/25/2025 11:28:42 AM GMT+5:30,25,Female,Undergraduate,Yes,Multiple times a day,Research,4,"If the internet suddenly disappeared, the world would be a very different place. We would have to find new ways to communicate, learn, work, and entertain ourselves.
Without the internet, we would have to rely on traditional methods of communication, such as phone calls, letters, and face-to-face conversations. This would make it more difficult to stay in touch with friends and family who live far away. It would also make it more difficult to do business, as many companies now rely on the internet to communicate with customers and suppliers.
Without the internet, we would have to find new ways to learn. We could go to libraries or bookstores to find books and other resources. We could also take classes at local schools or community centers. However, it would be more difficult to access the vast amount of information that is available online.
Without the internet, many people would be unable to work. This is because many jobs now require employees to have access to the internet. For example, many people work in online customer service, sales, or marketing. Others work as programmers, web designers, or social media managers.
If the internet suddenly disappeared, it would take some time for people to adjust. However, humans are adaptable creatures and we would eventually find ways to cope. We would find new ways to communicate, learn, work, and entertain ourselves.
People would start using traditional methods of communication, such as phone calls, letters, and face-to-face conversations.
People would go to libraries and bookstores to find books and other resources.
People would find new ways to entertain themselves, such as watching TV, listening to the radio, reading books, going to the movies, concerts, or sporting events.
It would be a challenging time, but people would eventually adapt and find ways to thrive in a world without the internet.",yes,9,10,No,No
2025/11/26 11:32:07 AM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Writing;Brainstorming;Academic Work,2,"If internet disappears, then to be honest, we can’t do anything, life will stop, if AI will disappear, that’s not a big issue, but internet is important. Internet is necessary for communication with other people quickly, searching things that will take time using physical resources, and for learning instantly something, we need internet, for entertainment, we need internet since we can choose what to watch at what time which is impossible by a TV. So, internet is very important.",yes,1,10,No,Maybe
7/25/2025 3:39:13 PM GMT+5:30,21,Male,Graduate,Yes,A few times a week,Research,3,"It has both pros and cons, pros will be people will get close to nature and start thinking of themself and cons are it will take up the jobs and rise to unstable financial conditions.",yes,6,7,Yes,Maybe
7/25/2025 12:28:54 PM GMT+5:30,20,Male,Undergraduate,Yes,Multiple times a day,Research;Coding;Brainstorming,4,"Someone's who's into digital marketing, it would make much difference in my life but it ain't because of AI much",yes,9,5,Yes,No
7/25/2025 3:12:30 PM GMT+5:30,18,Female,Undergraduate,Yes,Multiple times a day,Writing,3,"- I will make the maximum use of internet today.
- I will wait for day after tomorrow.
- All my fake IDs (angel priya) will be of no use.
- Days will be easier but nights would be so long.
- Bluetooth era will come again (nostalgia).",yes,3,10,No,Maybe
7/25/2025 4:18:34 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Information ,3,It will definitely have a big impact on my life ,yes,3,6,Yes,Yes
7/25/2025 4:38:25 PM GMT+5:30,20,Female,Undergraduate,Yes,Once a day,Writing;Research,2,"If the internet were to disappear tomorrow i really think my life would drastically change, since i really am just a full time internet scroller. i would have to find new ways to replace the time i spend doomscrolling and basically reinvent myself. All the course work that i do are solely dependent on the internet so that will be a set back. I would basically have no way of knowing what is happening in another person's life ,that's boring. My day to day life is completely dependent on the internet so i think my life would change significantly.",yes,6,8,Yes,Yes
7/25/2025 12:24:31 PM GMT+5:30,35,Male,Postgraduate / PhD,Yes,Multiple times a day,Research,3,"Life would be  a choas for a while as we are dependent on it for everyday activity. But after a while when we sit in chaos, we start reflecting on it and we start observing the small things that make life life.",yes,10,10,Yes,Yes
7/25/2025 11:34:33 AM GMT+5:30,20,Female,Undergraduate,Yes,A few times a week,Writing;Research;Coding;Brainstorming,3,If the internet disappeared tomorrow my life would be very different as all my work depends on the internet and I won’t be able to talk to my friends and family on video which would be very difficult for me,yes,1,6,No,Maybe
